NAME,YEAR,MONTH,DAY,MINUTE,VALUE
PPT             ,2015,10,2,975,0
PPT             ,2015,10,2,990,0
PPT             ,2015,10,2,1005,0
PPT             ,2015,10,2,1020,0
PPT             ,2015,10,2,1035,0
PPT             ,2015,10,2,1050,0
PPT             ,2015,10,2,1065,0
PPT             ,2015,10,2,1080,0
PPT             ,2015,10,2,1095,0
PPT             ,2015,10,2,1110,0
PPT             ,2015,10,2,1125,0
PPT             ,2015,10,2,1140,0
PPT             ,2015,10,2,1155,0
PPT             ,2015,10,2,1170,0
PPT             ,2015,10,2,1185,0
PPT             ,2015,10,2,1200,0
PPT             ,2015,10,2,1215,0
PPT             ,2015,10,2,1230,0
PPT             ,2015,10,2,1245,0
PPT             ,2015,10,2,1260,0
PPT             ,2015,10,2,1275,0
PPT             ,2015,10,2,1290,0
PPT             ,2015,10,2,1305,0
PPT             ,2015,10,2,1320,0
PPT             ,2015,10,2,1335,0
PPT             ,2015,10,2,1350,0
PPT             ,2015,10,2,1365,0
PPT             ,2015,10,2,1380,0
PPT             ,2015,10,2,1395,0
PPT             ,2015,10,2,1410,0
PPT             ,2015,10,2,1425,0
PPT             ,2015,10,3,0,0
PPT             ,2015,10,3,15,0
PPT             ,2015,10,3,30,0
PPT             ,2015,10,3,45,0
PPT             ,2015,10,3,60,0
PPT             ,2015,10,3,75,0
PPT             ,2015,10,3,90,0
PPT             ,2015,10,3,105,0
PPT             ,2015,10,3,120,0
PPT             ,2015,10,3,135,0
PPT             ,2015,10,3,150,0
PPT             ,2015,10,3,165,0
PPT             ,2015,10,3,180,0
PPT             ,2015,10,3,195,0
PPT             ,2015,10,3,210,0
PPT             ,2015,10,3,225,0
PPT             ,2015,10,3,240,0
PPT             ,2015,10,3,255,0
PPT             ,2015,10,3,270,0
PPT             ,2015,10,3,285,0
PPT             ,2015,10,3,300,0
PPT             ,2015,10,3,315,0
PPT             ,2015,10,3,330,0
PPT             ,2015,10,3,345,0
PPT             ,2015,10,3,360,0
PPT             ,2015,10,3,375,0
PPT             ,2015,10,3,390,0
PPT             ,2015,10,3,405,0
PPT             ,2015,10,3,420,0
PPT             ,2015,10,3,435,0
PPT             ,2015,10,3,450,0
PPT             ,2015,10,3,465,0
PPT             ,2015,10,3,480,0
PPT             ,2015,10,3,495,0
PPT             ,2015,10,3,510,0
PPT             ,2015,10,3,525,0
PPT             ,2015,10,3,540,0
PPT             ,2015,10,3,555,0
PPT             ,2015,10,3,570,0
PPT             ,2015,10,3,585,0
PPT             ,2015,10,3,600,0
PPT             ,2015,10,3,615,0
PPT             ,2015,10,3,630,0
PPT             ,2015,10,3,645,0
PPT             ,2015,10,3,660,0
PPT             ,2015,10,3,675,0
PPT             ,2015,10,3,690,0
PPT             ,2015,10,3,705,0
PPT             ,2015,10,3,720,0
PPT             ,2015,10,3,735,0
PPT             ,2015,10,3,750,0
